dr_no,date_occ,date_rptd,time_occ,lat,lon
190319651,2019-08-24T00:00:00.000,2019-08-24T00:00:00.000,0450,34.0255,-118.3002
230118231,2023-08-20T00:00:00.000,2023-08-20T00:00:00.000,0307,34.0364,-118.2677
230216025,2023-08-24T00:00:00.000,2023-08-24T00:00:00.000,1700,34.0406,-118.2798
230312440,2023-06-19T00:00:00.000,2023-06-20T00:00:00.000,2250,34.0314,-118.284
230314969,2023-08-13T00:00:00.000,2023-08-13T00:00:00.000,0345,34.0184,-118.2915
230315273,2023-08-18T00:00:00.000,2023-08-18T00:00:00.000,1600,34.036,-118.2849
191317382,2019-08-24T00:00:00.000,2019-08-24T00:00:00.000,1630,34.0029,-118.2718
191317498,2019-08-26T00:00:00.000,2019-08-26T00:00:00.000,1615,34.0154,-118.2653
191317701,2019-08-29T00:00:00.000,2019-08-29T00:00:00.000,1420,34.0155,-118.2772
191317730,2019-08-29T00:00:00.000,2019-08-30T00:00:00.000,1720,34.0038,-118.2783
191317749,2019-08-30T00:00:00.000,2019-08-30T00:00:00.000,2000,34.0039,-118.2717
190321441,2019-09-25T00:00:00.000,2019-09-25T00:00:00.000,0830,34.0365,-118.2767
190319764,2019-08-30T00:00:00.000,2019-08-30T00:00:00.000,1350,34.0184,-118.2822
190319787,2019-09-01T00:00:00.000,2019-09-01T00:00:00.000,0700,34.0109,-118.2959
190319732,2019-08-31T00:00:00.000,2019-09-01T00:00:00.000,1850,34.021,-118.3002
190319839,2019-08-31T00:00:00.000,2019-08-31T00:00:00.000,2030,34.0055,-118.29
190300949,2019-09-02T00:00:00.000,2019-09-02T00:00:00.000,1145,34.0219,-118.28
220311061,2022-05-22T00:00:00.000,2022-05-22T00:00:00.000,1445,34.0231,-118.2915
220311185,2022-05-14T00:00:00.000,2022-05-24T00:00:00.000,0120,34.0266,-118.277
220311213,2022-05-24T00:00:00.000,2022-05-25T00:00:00.000,1605,34.0246,-118.2813
220311249,2022-05-25T00:00:00.000,2022-05-25T00:00:00.000,1815,34.0305,-118.2915
191318058,2019-09-05T00:00:00.000,2019-09-05T00:00:00.000,0755,34.0039,-118.2696
170309027,2017-03-18T00:00:00.000,2017-03-18T00:00:00.000,0545,34.0184,-118.2806
170317508,2017-07-22T00:00:00.000,2017-07-22T00:00:00.000,0915,34.0344,-118.2915
171316693,2017-07-20T00:00:00.000,2017-07-20T00:00:00.000,1110,34.0038,-118.274
171318677,2017-08-19T00:00:00.000,2017-08-19T00:00:00.000,1000,34.0039,-118.2696
